mes,pais,motivo,cantidad
2025-09,Chile,Error en cálculo de IVA,1470
2025-09,Chile,CUFE duplicado,1306
2025-09,Chile,Resolución de numeración vencida,1022
2025-09,Chile,Detalle de tributos incompleto,963
2025-09,Chile,Firma digital inválida,589
2025-09,Chile,Otros rechazos técnicos,555
2025-09,Colombia,NIT del adquiriente inválido,57969
2025-09,Colombia,Fecha fuera del rango permitido,53957
2025-09,Colombia,Error en cálculo de IVA,41294
2025-09,Colombia,CUFE duplicado,30613
2025-09,Colombia,Resolución de numeración vencida,23370
2025-09,Colombia,Detalle de tributos incompleto,29110
2025-09,Colombia,Firma digital inválida,19287
2025-09,Colombia,Otros rechazos técnicos,14070
2025-09,Ecuador,NIT del adquiriente inválido,12291
2025-09,Ecuador,Fecha fuera del rango permitido,10529
2025-09,Ecuador,Error en cálculo de IVA,10618
2025-09,Ecuador,CUFE duplicado,7080
2025-09,Ecuador,Resolución de numeración vencida,6461
2025-09,Ecuador,Detalle de tributos incompleto,5195
2025-09,Ecuador,Firma digital inválida,4238
2025-09,Ecuador,Otros rechazos técnicos,2899
2025-09,México,NIT del adquiriente inválido,32621
2025-09,México,Fecha fuera del rango permitido,28121
2025-09,México,Error en cálculo de IVA,27751
2025-09,México,CUFE duplicado,19453
2025-09,México,Resolución de numeración vencida,17505
2025-09,México,Detalle de tributos incompleto,15479
2025-09,México,Firma digital inválida,10984
2025-09,México,Otros rechazos técnicos,8117
2025-09,Perú,NIT del adquiriente inválido,9822
2025-09,Perú,Fecha fuera del rango permitido,5890
2025-09,Perú,Error en cálculo de IVA,7352
2025-09,Perú,CUFE duplicado,4754
2025-09,Perú,Resolución de numeración vencida,4231
2025-09,Perú,Detalle de tributos incompleto,3415
2025-09,Perú,Firma digital inválida,2867
2025-09,Perú,Otros rechazos técnicos,1628
2025-09,Uruguay,NIT del adquiriente inválido,5508
2025-09,Uruguay,Fecha fuera del rango permitido,3858
2025-09,Uruguay,Error en cálculo de IVA,3567
2025-09,Uruguay,CUFE duplicado,2438
2025-09,Uruguay,Resolución de numeración vencida,2632
2025-09,Uruguay,Detalle de tributos incompleto,1601
2025-09,Uruguay,Firma digital inválida,1887
2025-09,Uruguay,Otros rechazos técnicos,1213
2025-10,Chile,NIT del adquiriente inválido,3023
2025-10,Chile,Fecha fuera del rango permitido,2220
2025-10,Chile,Error en cálculo de IVA,2121
2025-10,Chile,CUFE duplicado,1274
2025-10,Chile,Resolución de numeración vencida,1431
2025-10,Chile,Detalle de tributos incompleto,980
2025-10,Chile,Firma digital inválida,985
2025-10,Chile,Otros rechazos técnicos,533
2025-10,Colombia,NIT del adquiriente inválido,63817
2025-10,Colombia,Fecha fuera del rango permitido,56114
2025-10,Colombia,Error en cálculo de IVA,59871
2025-10,Colombia,CUFE duplicado,38871
2025-10,Colombia,Resolución de numeración vencida,32756
2025-10,Colombia,Detalle de tributos incompleto,31728
2025-10,Colombia,Firma digital inválida,20392
2025-10,Colombia,Otros rechazos técnicos,15317
2025-10,Ecuador,NIT del adquiriente inválido,19574
2025-10,Ecuador,Fecha fuera del rango permitido,13085
2025-10,Ecuador,Error en cálculo de IVA,11065
2025-10,Ecuador,CUFE duplicado,9877
2025-10,Ecuador,Resolución de numeración vencida,7642
2025-10,Ecuador,Detalle de tributos incompleto,5675
2025-10,Ecuador,Firma digital inválida,5940
2025-10,Ecuador,Otros rechazos técnicos,4269
2025-10,México,NIT del adquiriente inválido,44292
2025-10,México,Fecha fuera del rango permitido,35362
2025-10,México,Error en cálculo de IVA,30945
2025-10,México,CUFE duplicado,25873
2025-10,México,Resolución de numeración vencida,21442
2025-10,México,Detalle de tributos incompleto,18243
2025-10,México,Firma digital inválida,13614
2025-10,México,Otros rechazos técnicos,10392
2025-10,Perú,NIT del adquiriente inválido,9731
2025-10,Perú,Fecha fuera del rango permitido,6525
2025-10,Perú,Error en cálculo de IVA,6943
2025-10,Perú,CUFE duplicado,5046
2025-10,Perú,Resolución de numeración vencida,5067
2025-10,Perú,Detalle de tributos incompleto,3576
2025-10,Perú,Firma digital inválida,2932
2025-10,Perú,Otros rechazos técnicos,1948
2025-10,Uruguay,NIT del adquiriente inválido,5755
2025-10,Uruguay,Fecha fuera del rango permitido,4138
2025-10,Uruguay,Error en cálculo de IVA,4270
2025-10,Uruguay,CUFE duplicado,2634
2025-10,Uruguay,Resolución de numeración vencida,2386
2025-10,Uruguay,Detalle de tributos incompleto,2471
2025-10,Uruguay,Firma digital inválida,2049
2025-10,Uruguay,Otros rechazos técnicos,1258
2025-11,Chile,NIT del adquiriente inválido,2614
2025-11,Chile,Fecha fuera del rango permitido,2050
2025-11,Chile,Error en cálculo de IVA,1790
2025-11,Chile,CUFE duplicado,1383
2025-11,Chile,Resolución de numeración vencida,1243
2025-11,Chile,Detalle de tributos incompleto,959
2025-11,Chile,Firma digital inválida,745
2025-11,Chile,Otros rechazos técnicos,564
2025-11,Colombia,NIT del adquiriente inválido,63250
2025-11,Colombia,Fecha fuera del rango permitido,43889
2025-11,Colombia,Error en cálculo de IVA,43400
2025-11,Colombia,CUFE duplicado,34456
2025-11,Colombia,Resolución de numeración vencida,33833
2025-11,Colombia,Detalle de tributos incompleto,26626
2025-11,Colombia,Firma digital inválida,17588
2025-11,Colombia,Otros rechazos técnicos,13270
2025-11,Ecuador,NIT del adquiriente inválido,16044
2025-11,Ecuador,Fecha fuera del rango permitido,12060
2025-11,Ecuador,Error en cálculo de IVA,8485
2025-11,Ecuador,CUFE duplicado,7988
2025-11,Ecuador,Resolución de numeración vencida,7650
2025-11,Ecuador,Detalle de tributos incompleto,6429
2025-11,Ecuador,Firma digital inválida,4638
2025-11,Ecuador,Otros rechazos técnicos,3731
2025-11,México,NIT del adquiriente inválido,37015
2025-11,México,Fecha fuera del rango permitido,28400
2025-11,México,Error en cálculo de IVA,22843
2025-11,México,CUFE duplicado,23694
2025-11,México,Resolución de numeración vencida,19323
2025-11,México,Detalle de tributos incompleto,15743
2025-11,México,Firma digital inválida,14912
2025-11,México,Otros rechazos técnicos,9678
2025-11,Perú,NIT del adquiriente inválido,8842
2025-11,Perú,Fecha fuera del rango permitido,6645
2025-11,Perú,Error en cálculo de IVA,7279
2025-11,Perú,CUFE duplicado,4685
2025-11,Perú,Resolución de numeración vencida,4486
2025-11,Perú,Detalle de tributos incompleto,2919
2025-11,Perú,Firma digital inválida,3123
2025-11,Perú,Otros rechazos técnicos,2103
2025-11,Uruguay,NIT del adquiriente inválido,5299
2025-11,Uruguay,Fecha fuera del rango permitido,3695
2025-11,Uruguay,Error en cálculo de IVA,3252
2025-11,Uruguay,CUFE duplicado,2475
2025-11,Uruguay,Resolución de numeración vencida,2540
2025-11,Uruguay,Detalle de tributos incompleto,1989
2025-11,Uruguay,Firma digital inválida,1699
2025-11,Uruguay,Otros rechazos técnicos,1043
2025-12,Chile,NIT del adquiriente inválido,3431
2025-12,Chile,Fecha fuera del rango permitido,2663
2025-12,Chile,Error en cálculo de IVA,2446
2025-12,Chile,CUFE duplicado,1770
2025-12,Chile,Resolución de numeración vencida,1421
2025-12,Chile,Detalle de tributos incompleto,1216
2025-12,Chile,Firma digital inválida,1082
2025-12,Chile,Otros rechazos técnicos,773
2025-12,Colombia,NIT del adquiriente inválido,74894
2025-12,Colombia,Fecha fuera del rango permitido,65133
2025-12,Colombia,Error en cálculo de IVA,50434
2025-12,Colombia,CUFE duplicado,48670
2025-12,Colombia,Resolución de numeración vencida,39217
2025-12,Colombia,Detalle de tributos incompleto,30533
2025-12,Colombia,Firma digital inválida,23145
2025-12,Colombia,Otros rechazos técnicos,18753
2025-12,Ecuador,NIT del adquiriente inválido,19935
2025-12,Ecuador,Fecha fuera del rango permitido,16955
2025-12,Ecuador,Error en cálculo de IVA,15825
2025-12,Ecuador,CUFE duplicado,11286
2025-12,Ecuador,Resolución de numeración vencida,10183
2025-12,Ecuador,Detalle de tributos incompleto,6553
2025-12,Ecuador,Firma digital inválida,6090
2025-12,Ecuador,Otros rechazos técnicos,4628
2025-12,México,NIT del adquiriente inválido,51390
2025-12,México,Fecha fuera del rango permitido,46413
2025-12,México,Error en cálculo de IVA,38431
2025-12,México,CUFE duplicado,29896
2025-12,México,Resolución de numeración vencida,24790
2025-12,México,Detalle de tributos incompleto,19770
2025-12,México,Firma digital inválida,16326
2025-12,México,Otros rechazos técnicos,11561
2025-12,Perú,NIT del adquiriente inválido,11302
2025-12,Perú,Fecha fuera del rango permitido,9207
2025-12,Perú,Error en cálculo de IVA,7566
2025-12,Perú,CUFE duplicado,6402
2025-12,Perú,Resolución de numeración vencida,6281
2025-12,Perú,Detalle de tributos incompleto,4211
2025-12,Perú,Firma digital inválida,4083
2025-12,Perú,Otros rechazos técnicos,2865
2025-12,Uruguay,NIT del adquiriente inválido,6886
2025-12,Uruguay,Fecha fuera del rango permitido,4365
2025-12,Uruguay,Error en cálculo de IVA,4654
2025-12,Uruguay,CUFE duplicado,3693
2025-12,Uruguay,Resolución de numeración vencida,3344
2025-12,Uruguay,Detalle de tributos incompleto,2456
2025-12,Uruguay,Firma digital inválida,2137
2025-12,Uruguay,Otros rechazos técnicos,1441
2026-01,Chile,NIT del adquiriente inválido,2242
2026-01,Chile,Fecha fuera del rango permitido,1946
2026-01,Chile,Error en cálculo de IVA,1432
2026-01,Chile,CUFE duplicado,1348
2026-01,Chile,Resolución de numeración vencida,1211
2026-01,Chile,Detalle de tributos incompleto,975
2026-01,Chile,Firma digital inválida,842
2026-01,Chile,Otros rechazos técnicos,486
2026-01,Colombia,NIT del adquiriente inválido,62141
2026-01,Colombia,Fecha fuera del rango permitido,49056
2026-01,Colombia,Error en cálculo de IVA,40067
2026-01,Colombia,CUFE duplicado,34825
2026-01,Colombia,Resolución de numeración vencida,29358
2026-01,Colombia,Detalle de tributos incompleto,21531
2026-01,Colombia,Firma digital inválida,19311
2026-01,Colombia,Otros rechazos técnicos,11586
2026-01,Ecuador,NIT del adquiriente inválido,12487
2026-01,Ecuador,Fecha fuera del rango permitido,12161
2026-01,Ecuador,Error en cálculo de IVA,8667
2026-01,Ecuador,CUFE duplicado,7527
2026-01,Ecuador,Resolución de numeración vencida,6902
2026-01,Ecuador,Detalle de tributos incompleto,5693
2026-01,Ecuador,Firma digital inválida,4271
2026-01,Ecuador,Otros rechazos técnicos,2501
2026-01,México,NIT del adquiriente inválido,37715
2026-01,México,Fecha fuera del rango permitido,26135
2026-01,México,Error en cálculo de IVA,28199
2026-01,México,CUFE duplicado,17999
2026-01,México,Resolución de numeración vencida,17952
2026-01,México,Detalle de tributos incompleto,14388
2026-01,México,Firma digital inválida,9695
2026-01,México,Otros rechazos técnicos,9296
2026-01,Perú,NIT del adquiriente inválido,9955
2026-01,Perú,Fecha fuera del rango permitido,6587
2026-01,Perú,Error en cálculo de IVA,6128
2026-01,Perú,CUFE duplicado,4408
2026-01,Perú,Resolución de numeración vencida,4571
2026-01,Perú,Detalle de tributos incompleto,3447
2026-01,Perú,Firma digital inválida,2440
2026-01,Perú,Otros rechazos técnicos,1907
2026-01,Uruguay,NIT del adquiriente inválido,4918
2026-01,Uruguay,Fecha fuera del rango permitido,3774
2026-01,Uruguay,Error en cálculo de IVA,2926
2026-01,Uruguay,CUFE duplicado,2665
2026-01,Uruguay,Resolución de numeración vencida,2652
2026-01,Uruguay,Detalle de tributos incompleto,2042
2026-01,Uruguay,Firma digital inválida,1737
2026-01,Uruguay,Otros rechazos técnicos,1132
2026-02,Chile,NIT del adquiriente inválido,2089
2026-02,Chile,Fecha fuera del rango permitido,1637
2026-02,Chile,Error en cálculo de IVA,1624
2026-02,Chile,CUFE duplicado,1178
2026-02,Chile,Resolución de numeración vencida,1099
2026-02,Chile,Detalle de tributos incompleto,819
2026-02,Chile,Firma digital inválida,718
2026-02,Chile,Otros rechazos técnicos,442
2026-02,Colombia,NIT del adquiriente inválido,43293
2026-02,Colombia,Fecha fuera del rango permitido,32030
2026-02,Colombia,Error en cálculo de IVA,31193
2026-02,Colombia,CUFE duplicado,28602
2026-02,Colombia,Resolución de numeración vencida,21067
2026-02,Colombia,Detalle de tributos incompleto,19555
2026-02,Colombia,Firma digital inválida,13807
2026-02,Colombia,Otros rechazos técnicos,9974
2026-02,Ecuador,NIT del adquiriente inválido,11614
2026-02,Ecuador,Fecha fuera del rango permitido,9169
2026-02,Ecuador,Error en cálculo de IVA,8446
2026-02,Ecuador,CUFE duplicado,6994
2026-02,Ecuador,Resolución de numeración vencida,6334
2026-02,Ecuador,Detalle de tributos incompleto,5641
2026-02,Ecuador,Firma digital inválida,3710
2026-02,Ecuador,Otros rechazos técnicos,2929
2026-02,México,NIT del adquiriente inválido,32776
2026-02,México,Fecha fuera del rango permitido,23850
2026-02,México,Error en cálculo de IVA,24347
2026-02,México,CUFE duplicado,15739
2026-02,México,Resolución de numeración vencida,15290
2026-02,México,Detalle de tributos incompleto,11040
2026-02,México,Firma digital inválida,10497
2026-02,México,Otros rechazos técnicos,7318
2026-02,Perú,NIT del adquiriente inválido,7118
2026-02,Perú,Fecha fuera del rango permitido,6309
2026-02,Perú,Error en cálculo de IVA,5062
2026-02,Perú,CUFE duplicado,3556
2026-02,Perú,Resolución de numeración vencida,3660
2026-02,Perú,Detalle de tributos incompleto,2565
2026-02,Perú,Firma digital inválida,2354
2026-02,Perú,Otros rechazos técnicos,1398
2026-02,Uruguay,NIT del adquiriente inválido,3351
2026-02,Uruguay,Fecha fuera del rango permitido,3177
2026-02,Uruguay,Error en cálculo de IVA,2727
2026-02,Uruguay,CUFE duplicado,2655
2026-02,Uruguay,Resolución de numeración vencida,1907
2026-02,Uruguay,Detalle de tributos incompleto,1832
2026-02,Uruguay,Firma digital inválida,1349
2026-02,Uruguay,Otros rechazos técnicos,899
2026-03,Chile,NIT del adquiriente inválido,2735
2026-03,Chile,Fecha fuera del rango permitido,2349
2026-03,Chile,Error en cálculo de IVA,1874
2026-03,Chile,CUFE duplicado,1529
2026-03,Chile,Resolución de numeración vencida,1286
2026-03,Chile,Detalle de tributos incompleto,1173
2026-03,Chile,Firma digital inválida,911
2026-03,Chile,Otros rechazos técnicos,693
2026-03,Colombia,NIT del adquiriente inválido,64352
2026-03,Colombia,Fecha fuera del rango permitido,47210
2026-03,Colombia,Error en cálculo de IVA,46928
2026-03,Colombia,CUFE duplicado,33669
2026-03,Colombia,Resolución de numeración vencida,31896
2026-03,Colombia,Detalle de tributos incompleto,27481
2026-03,Colombia,Firma digital inválida,23406
2026-03,Colombia,Otros rechazos técnicos,16176
2026-03,Ecuador,NIT del adquiriente inválido,14663
2026-03,Ecuador,Fecha fuera del rango permitido,12421
2026-03,Ecuador,Error en cálculo de IVA,12711
2026-03,Ecuador,CUFE duplicado,9376
2026-03,Ecuador,Resolución de numeración vencida,8189
2026-03,Ecuador,Detalle de tributos incompleto,6877
2026-03,Ecuador,Firma digital inválida,5919
2026-03,Ecuador,Otros rechazos técnicos,4059
2026-03,México,NIT del adquiriente inválido,48397
2026-03,México,Fecha fuera del rango permitido,28941
2026-03,México,Error en cálculo de IVA,31714
2026-03,México,CUFE duplicado,23605
2026-03,México,Resolución de numeración vencida,22409
2026-03,México,Detalle de tributos incompleto,17338
2026-03,México,Firma digital inválida,13366
2026-03,México,Otros rechazos técnicos,9964
2026-03,Perú,NIT del adquiriente inválido,9491
2026-03,Perú,Fecha fuera del rango permitido,6811
2026-03,Perú,Error en cálculo de IVA,5637
2026-03,Perú,CUFE duplicado,5784
2026-03,Perú,Resolución de numeración vencida,4546
2026-03,Perú,Detalle de tributos incompleto,3574
2026-03,Perú,Firma digital inválida,2577
2026-03,Perú,Otros rechazos técnicos,2176
2026-03,Uruguay,NIT del adquiriente inválido,5492
2026-03,Uruguay,Fecha fuera del rango permitido,4682
2026-03,Uruguay,Error en cálculo de IVA,3473
2026-03,Uruguay,CUFE duplicado,3060
2026-03,Uruguay,Resolución de numeración vencida,2790
2026-03,Uruguay,Detalle de tributos incompleto,2221
2026-03,Uruguay,Firma digital inválida,1956
2026-03,Uruguay,Otros rechazos técnicos,1367
2026-04,Chile,NIT del adquiriente inválido,3126
2026-04,Chile,Fecha fuera del rango permitido,2495
2026-04,Chile,Error en cálculo de IVA,2221
2026-04,Chile,CUFE duplicado,1538
2026-04,Chile,Resolución de numeración vencida,1301
2026-04,Chile,Detalle de tributos incompleto,1107
2026-04,Chile,Firma digital inválida,984
2026-04,Chile,Otros rechazos técnicos,669
2026-04,Colombia,NIT del adquiriente inválido,68270
2026-04,Colombia,Fecha fuera del rango permitido,56005
2026-04,Colombia,Error en cálculo de IVA,52315
2026-04,Colombia,CUFE duplicado,35331
2026-04,Colombia,Resolución de numeración vencida,38722
2026-04,Colombia,Detalle de tributos incompleto,31465
2026-04,Colombia,Firma digital inválida,24140
2026-04,Colombia,Otros rechazos técnicos,16088
2026-04,Ecuador,NIT del adquiriente inválido,14675
2026-04,Ecuador,Fecha fuera del rango permitido,13311
2026-04,Ecuador,Error en cálculo de IVA,9997
2026-04,Ecuador,CUFE duplicado,9512
2026-04,Ecuador,Resolución de numeración vencida,7195
2026-04,Ecuador,Detalle de tributos incompleto,7587
2026-04,Ecuador,Firma digital inválida,5777
2026-04,Ecuador,Otros rechazos técnicos,3996
2026-04,México,NIT del adquiriente inválido,44430
2026-04,México,Fecha fuera del rango permitido,31389
2026-04,México,Error en cálculo de IVA,30766
2026-04,México,CUFE duplicado,26676
2026-04,México,Resolución de numeración vencida,22357
2026-04,México,Detalle de tributos incompleto,19789
2026-04,México,Firma digital inválida,13419
2026-04,México,Otros rechazos técnicos,9423
2026-04,Perú,NIT del adquiriente inválido,10374
2026-04,Perú,Fecha fuera del rango permitido,8326
2026-04,Perú,Error en cálculo de IVA,7707
2026-04,Perú,CUFE duplicado,5810
2026-04,Perú,Resolución de numeración vencida,5253
2026-04,Perú,Detalle de tributos incompleto,4788
2026-04,Perú,Firma digital inválida,3798
2026-04,Perú,Otros rechazos técnicos,2308
2026-04,Uruguay,NIT del adquiriente inválido,5895
2026-04,Uruguay,Fecha fuera del rango permitido,4003
2026-04,Uruguay,Error en cálculo de IVA,4543
2026-04,Uruguay,CUFE duplicado,3409
2026-04,Uruguay,Resolución de numeración vencida,3118
2026-04,Uruguay,Detalle de tributos incompleto,2513
2026-04,Uruguay,Firma digital inválida,1644
2026-04,Uruguay,Otros rechazos técnicos,1266
2026-05,Chile,NIT del adquiriente inválido,2886
2026-05,Chile,Fecha fuera del rango permitido,2405
2026-05,Chile,Error en cálculo de IVA,2334
2026-05,Chile,CUFE duplicado,1604
2026-05,Chile,Resolución de numeración vencida,1519
2026-05,Chile,Detalle de tributos incompleto,1480
2026-05,Chile,Firma digital inválida,998
2026-05,Chile,Otros rechazos técnicos,616
2026-05,Colombia,NIT del adquiriente inválido,64488
2026-05,Colombia,Fecha fuera del rango permitido,48965
2026-05,Colombia,Error en cálculo de IVA,46814
2026-05,Colombia,CUFE duplicado,30941
2026-05,Colombia,Resolución de numeración vencida,31387
2026-05,Colombia,Detalle de tributos incompleto,25373
2026-05,Colombia,Firma digital inválida,20172
2026-05,Colombia,Otros rechazos técnicos,14966
2026-05,Ecuador,NIT del adquiriente inválido,13887
2026-05,Ecuador,Fecha fuera del rango permitido,15128
2026-05,Ecuador,Error en cálculo de IVA,11397
2026-05,Ecuador,CUFE duplicado,8570
2026-05,Ecuador,Resolución de numeración vencida,7881
2026-05,Ecuador,Detalle de tributos incompleto,6776
2026-05,Ecuador,Firma digital inválida,5688
2026-05,Ecuador,Otros rechazos técnicos,3112
2026-05,México,NIT del adquiriente inválido,39097
2026-05,México,Fecha fuera del rango permitido,34197
2026-05,México,Error en cálculo de IVA,28971
2026-05,México,CUFE duplicado,22491
2026-05,México,Resolución de numeración vencida,25512
2026-05,México,Detalle de tributos incompleto,16744
2026-05,México,Firma digital inválida,14383
2026-05,México,Otros rechazos técnicos,9185
2026-05,Perú,NIT del adquiriente inválido,9257
2026-05,Perú,Fecha fuera del rango permitido,6605
2026-05,Perú,Error en cálculo de IVA,6869
2026-05,Perú,CUFE duplicado,5628
2026-05,Perú,Resolución de numeración vencida,5239
2026-05,Perú,Detalle de tributos incompleto,3900
2026-05,Perú,Firma digital inválida,3038
2026-05,Perú,Otros rechazos técnicos,1986
2026-05,Uruguay,NIT del adquiriente inválido,5306
2026-05,Uruguay,Fecha fuera del rango permitido,4286
2026-05,Uruguay,Error en cálculo de IVA,4317
2026-05,Uruguay,CUFE duplicado,2914
2026-05,Uruguay,Resolución de numeración vencida,2599
2026-05,Uruguay,Detalle de tributos incompleto,1819
2026-05,Uruguay,Firma digital inválida,1935
2026-05,Uruguay,Otros rechazos técnicos,1225
2026-06,Chile,NIT del adquiriente inválido,3182
2026-06,Chile,Fecha fuera del rango permitido,2039
2026-06,Chile,Error en cálculo de IVA,2075
2026-06,Chile,CUFE duplicado,1557
2026-06,Chile,Resolución de numeración vencida,1528
2026-06,Chile,Detalle de tributos incompleto,1220
2026-06,Chile,Firma digital inválida,1155
2026-06,Chile,Otros rechazos técnicos,727
2026-06,Colombia,NIT del adquiriente inválido,60578
2026-06,Colombia,Fecha fuera del rango permitido,56874
2026-06,Colombia,Error en cálculo de IVA,48834
2026-06,Colombia,CUFE duplicado,39267
2026-06,Colombia,Resolución de numeración vencida,31010
2026-06,Colombia,Detalle de tributos incompleto,24204
2026-06,Colombia,Firma digital inválida,16508
2026-06,Colombia,Otros rechazos técnicos,15650
2026-06,Ecuador,NIT del adquiriente inválido,17290
2026-06,Ecuador,Fecha fuera del rango permitido,12481
2026-06,Ecuador,Error en cálculo de IVA,11394
2026-06,Ecuador,CUFE duplicado,9121
2026-06,Ecuador,Resolución de numeración vencida,8265
2026-06,Ecuador,Detalle de tributos incompleto,6136
2026-06,Ecuador,Firma digital inválida,4730
2026-06,Ecuador,Otros rechazos técnicos,3153
2026-06,México,NIT del adquiriente inválido,40671
2026-06,México,Fecha fuera del rango permitido,27793
2026-06,México,Error en cálculo de IVA,27838
2026-06,México,CUFE duplicado,24106
2026-06,México,Resolución de numeración vencida,19978
2026-06,México,Detalle de tributos incompleto,18569
2026-06,México,Firma digital inválida,14847
2026-06,México,Otros rechazos técnicos,11716
2026-06,Perú,NIT del adquiriente inválido,8918
2026-06,Perú,Fecha fuera del rango permitido,7156
2026-06,Perú,Error en cálculo de IVA,5931
2026-06,Perú,CUFE duplicado,5656
2026-06,Perú,Resolución de numeración vencida,5144
2026-06,Perú,Detalle de tributos incompleto,3910
2026-06,Perú,Firma digital inválida,3301
2026-06,Perú,Otros rechazos técnicos,2083
2026-06,Uruguay,NIT del adquiriente inválido,5310
2026-06,Uruguay,Fecha fuera del rango permitido,3901
2026-06,Uruguay,Error en cálculo de IVA,3921
2026-06,Uruguay,CUFE duplicado,2850
2026-06,Uruguay,Resolución de numeración vencida,2782
2026-06,Uruguay,Detalle de tributos incompleto,2139
2026-06,Uruguay,Firma digital inválida,1724
2026-06,Uruguay,Otros rechazos técnicos,1110
2026-07,Chile,NIT del adquiriente inválido,3149
2026-07,Chile,Fecha fuera del rango permitido,3043
2026-07,Chile,Error en cálculo de IVA,2620
2026-07,Chile,CUFE duplicado,1794
2026-07,Chile,Resolución de numeración vencida,1689
2026-07,Chile,Detalle de tributos incompleto,1122
2026-07,Chile,Firma digital inválida,1108
2026-07,Chile,Otros rechazos técnicos,756
2026-07,Colombia,NIT del adquiriente inválido,70950
2026-07,Colombia,Fecha fuera del rango permitido,56009
2026-07,Colombia,Error en cálculo de IVA,46029
2026-07,Colombia,CUFE duplicado,42625
2026-07,Colombia,Resolución de numeración vencida,45174
2026-07,Colombia,Detalle de tributos incompleto,32178
2026-07,Colombia,Firma digital inválida,22721
2026-07,Colombia,Otros rechazos técnicos,16374
2026-07,Ecuador,NIT del adquiriente inválido,16714
2026-07,Ecuador,Fecha fuera del rango permitido,11513
2026-07,Ecuador,Error en cálculo de IVA,13916
2026-07,Ecuador,CUFE duplicado,10256
2026-07,Ecuador,Resolución de numeración vencida,7818
2026-07,Ecuador,Detalle de tributos incompleto,8077
2026-07,Ecuador,Firma digital inválida,5834
2026-07,Ecuador,Otros rechazos técnicos,3992
2026-07,México,NIT del adquiriente inválido,50119
2026-07,México,Fecha fuera del rango permitido,34321
2026-07,México,Error en cálculo de IVA,29017
2026-07,México,CUFE duplicado,30164
2026-07,México,Resolución de numeración vencida,26383
2026-07,México,Detalle de tributos incompleto,16026
2026-07,México,Firma digital inválida,14534
2026-07,México,Otros rechazos técnicos,10341
2026-07,Perú,NIT del adquiriente inválido,10959
2026-07,Perú,Fecha fuera del rango permitido,7413
2026-07,Perú,Error en cálculo de IVA,7214
2026-07,Perú,CUFE duplicado,6814
2026-07,Perú,Resolución de numeración vencida,5003
2026-07,Perú,Detalle de tributos incompleto,3056
2026-07,Perú,Firma digital inválida,2958
2026-07,Perú,Otros rechazos técnicos,2529
2026-07,Uruguay,NIT del adquiriente inválido,5904
2026-07,Uruguay,Fecha fuera del rango permitido,4884
2026-07,Uruguay,Error en cálculo de IVA,3892
2026-07,Uruguay,CUFE duplicado,3267
2026-07,Uruguay,Resolución de numeración vencida,2821
2026-07,Uruguay,Detalle de tributos incompleto,2168
2026-07,Uruguay,Firma digital inválida,1949
2026-07,Uruguay,Otros rechazos técnicos,1289
2026-08,Chile,NIT del adquiriente inválido,3685
2026-08,Chile,Fecha fuera del rango permitido,2535
2026-08,Chile,Error en cálculo de IVA,2278
2026-08,Chile,CUFE duplicado,1588
2026-08,Chile,Resolución de numeración vencida,1574
2026-08,Chile,Detalle de tributos incompleto,1170
2026-08,Chile,Firma digital inválida,1102
2026-08,Chile,Otros rechazos técnicos,691
2026-08,Colombia,NIT del adquiriente inválido,55956
2026-08,Colombia,Fecha fuera del rango permitido,56177
2026-08,Colombia,Error en cálculo de IVA,52091
2026-08,Colombia,CUFE duplicado,31814
2026-08,Colombia,Resolución de numeración vencida,35595
2026-08,Colombia,Detalle de tributos incompleto,28006
2026-08,Colombia,Firma digital inválida,19663
2026-08,Colombia,Otros rechazos técnicos,15400
2026-08,Ecuador,NIT del adquiriente inválido,18690
2026-08,Ecuador,Fecha fuera del rango permitido,12057
2026-08,Ecuador,Error en cálculo de IVA,9668
2026-08,Ecuador,CUFE duplicado,9062
2026-08,Ecuador,Resolución de numeración vencida,7513
2026-08,Ecuador,Detalle de tributos incompleto,6511
2026-08,Ecuador,Firma digital inválida,4803
2026-08,Ecuador,Otros rechazos técnicos,3747
2026-08,México,NIT del adquiriente inválido,34609
2026-08,México,Fecha fuera del rango permitido,32440
2026-08,México,Error en cálculo de IVA,31521
2026-08,México,CUFE duplicado,24221
2026-08,México,Resolución de numeración vencida,20094
2026-08,México,Detalle de tributos incompleto,17396
2026-08,México,Firma digital inválida,14186
2026-08,México,Otros rechazos técnicos,9609
2026-08,Perú,NIT del adquiriente inválido,10186
2026-08,Perú,Fecha fuera del rango permitido,7908
2026-08,Perú,Error en cálculo de IVA,7291
2026-08,Perú,CUFE duplicado,4508
2026-08,Perú,Resolución de numeración vencida,4097
2026-08,Perú,Detalle de tributos incompleto,3341
2026-08,Perú,Firma digital inválida,3246
2026-08,Perú,Otros rechazos técnicos,2210
2026-08,Uruguay,NIT del adquiriente inválido,5699
2026-08,Uruguay,Fecha fuera del rango permitido,4674
2026-08,Uruguay,Error en cálculo de IVA,4050
2026-08,Uruguay,CUFE duplicado,2855
2026-08,Uruguay,Resolución de numeración vencida,2988
2026-08,Uruguay,Detalle de tributos incompleto,1760
2026-08,Uruguay,Firma digital inválida,1587
2026-08,Uruguay,Otros rechazos técnicos,1310
