mes,pais,plan,motivo,clientes,mrr_perdido_usd
2026-06,Colombia,POS Gastrobar,Funcionalidad faltante,7,256.41
2026-06,Colombia,POS Gastrobar,Otro / sin motivo registrado,6,187.52
2026-07,Colombia,Siigo Contador,Cerró o quebró el negocio,56,0.0
2026-07,Colombia,Siigo Contador,Precio / ajuste anual,52,0.0
2026-07,Colombia,Siigo Contador,Se fue a la competencia,35,0.0
2026-07,Colombia,Siigo Contador,Mala experiencia de soporte,32,0.0
2026-07,Colombia,Siigo Contador,No logró implementar,29,0.0
2026-07,Colombia,Siigo Contador,Cambió de contador,19,0.0
2026-07,Colombia,Siigo Contador,Funcionalidad faltante,19,0.0
2026-07,Colombia,Siigo Contador,Otro / sin motivo registrado,12,0.0
2026-07,Colombia,Profesional Independiente,Cerró o quebró el negocio,150,6559.5
2026-07,Colombia,Profesional Independiente,Precio / ajuste anual,123,5264.14
2026-07,Colombia,Profesional Independiente,Se fue a la competencia,104,4051.46
2026-07,Colombia,Profesional Independiente,Mala experiencia de soporte,86,3334.87
2026-07,Colombia,Profesional Independiente,No logró implementar,97,3004.14
2026-07,Colombia,Profesional Independiente,Cambió de contador,53,2149.75
2026-07,Colombia,Profesional Independiente,Funcionalidad faltante,51,1846.58
2026-07,Colombia,Profesional Independiente,Otro / sin motivo registrado,40,1350.49
2026-07,Colombia,Emprendedor,Cerró o quebró el negocio,110,6473.84
2026-07,Colombia,Emprendedor,Precio / ajuste anual,112,5195.39
2026-07,Colombia,Emprendedor,Se fue a la competencia,71,3998.55
2026-07,Colombia,Emprendedor,Mala experiencia de soporte,68,3291.32
2026-07,Colombia,Emprendedor,No logró implementar,45,2964.91
2026-07,Colombia,Emprendedor,Cambió de contador,42,2121.68
2026-07,Colombia,Emprendedor,Funcionalidad faltante,33,1822.47
2026-07,Colombia,Emprendedor,Otro / sin motivo registrado,22,1332.85
2026-07,Colombia,Premium,Cerró o quebró el negocio,62,3020.67
2026-07,Colombia,Premium,Precio / ajuste anual,42,2424.15
2026-07,Colombia,Premium,Se fue a la competencia,30,1865.71
2026-07,Colombia,Premium,Mala experiencia de soporte,28,1535.72
2026-07,Colombia,Premium,No logró implementar,25,1383.42
2026-07,Colombia,Premium,Cambió de contador,16,989.97
2026-07,Colombia,Premium,Funcionalidad faltante,14,850.36
2026-07,Colombia,Premium,Otro / sin motivo registrado,10,621.9
2026-07,Colombia,Corporativo,Cerró o quebró el negocio,8,917.0
2026-07,Colombia,Corporativo,Precio / ajuste anual,5,735.91
2026-07,Colombia,Corporativo,Se fue a la competencia,5,566.38
2026-07,Colombia,Corporativo,Mala experiencia de soporte,4,466.21
2026-07,Colombia,Corporativo,No logró implementar,3,419.97
2026-07,Colombia,Corporativo,Cambió de contador,2,300.53
2026-07,Colombia,Corporativo,Funcionalidad faltante,2,258.15
2026-07,Colombia,Corporativo,Otro / sin motivo registrado,2,188.79
2026-07,Colombia,Siigo POS,Cerró o quebró el negocio,52,1149.81
2026-07,Colombia,Siigo POS,Precio / ajuste anual,35,922.75
2026-07,Colombia,Siigo POS,Se fue a la competencia,30,710.18
2026-07,Colombia,Siigo POS,Mala experiencia de soporte,22,584.57
2026-07,Colombia,Siigo POS,No logró implementar,23,526.59
2026-07,Colombia,Siigo POS,Cambió de contador,14,376.83
2026-07,Colombia,Siigo POS,Funcionalidad faltante,15,323.69
2026-07,Colombia,Siigo POS,Otro / sin motivo registrado,8,236.73
2026-07,Colombia,POS Gastrobar,Cerró o quebró el negocio,28,883.52
2026-07,Colombia,POS Gastrobar,Precio / ajuste anual,24,709.04
2026-07,Colombia,POS Gastrobar,Se fue a la competencia,15,545.7
2026-07,Colombia,POS Gastrobar,Mala experiencia de soporte,15,449.18
2026-07,Colombia,POS Gastrobar,No logró implementar,13,404.64
2026-07,Colombia,POS Gastrobar,Cambió de contador,8,289.56
2026-07,Colombia,POS Gastrobar,Funcionalidad faltante,7,248.72
2026-07,Colombia,POS Gastrobar,Otro / sin motivo registrado,6,181.9
2026-08,Colombia,Siigo Contador,Cerró o quebró el negocio,73,0.0
2026-08,Colombia,Siigo Contador,Precio / ajuste anual,61,0.0
2026-08,Colombia,Siigo Contador,Se fue a la competencia,41,0.0
2026-08,Colombia,Siigo Contador,Mala experiencia de soporte,41,0.0
2026-08,Colombia,Siigo Contador,No logró implementar,44,0.0
2026-08,Colombia,Siigo Contador,Cambió de contador,17,0.0
2026-08,Colombia,Siigo Contador,Funcionalidad faltante,22,0.0
2026-08,Colombia,Siigo Contador,Otro / sin motivo registrado,14,0.0
2026-08,Colombia,Profesional Independiente,Cerró o quebró el negocio,173,5832.68
2026-08,Colombia,Profesional Independiente,Precio / ajuste anual,126,4680.85
2026-08,Colombia,Profesional Independiente,Se fue a la competencia,103,3602.54
2026-08,Colombia,Profesional Independiente,Mala experiencia de soporte,112,4388.72
2026-08,Colombia,Profesional Independiente,No logró implementar,73,2671.27
2026-08,Colombia,Profesional Independiente,Cambió de contador,44,1911.55
2026-08,Colombia,Profesional Independiente,Funcionalidad faltante,51,1641.97
2026-08,Colombia,Profesional Independiente,Otro / sin motivo registrado,35,1200.85
2026-08,Colombia,Emprendedor,Cerró o quebró el negocio,126,6604.4
2026-08,Colombia,Emprendedor,Precio / ajuste anual,105,5300.17
2026-08,Colombia,Emprendedor,Se fue a la competencia,86,4079.19
2026-08,Colombia,Emprendedor,Mala experiencia de soporte,102,4969.39
2026-08,Colombia,Emprendedor,No logró implementar,61,3024.7
2026-08,Colombia,Emprendedor,Cambió de contador,45,2164.47
2026-08,Colombia,Emprendedor,Funcionalidad faltante,41,1859.22
2026-08,Colombia,Emprendedor,Otro / sin motivo registrado,30,1359.73
2026-08,Colombia,Premium,Cerró o quebró el negocio,46,2821.62
2026-08,Colombia,Premium,Precio / ajuste anual,42,2264.41
2026-08,Colombia,Premium,Se fue a la competencia,34,1742.77
2026-08,Colombia,Premium,Mala experiencia de soporte,37,2123.09
2026-08,Colombia,Premium,No logró implementar,20,1292.25
2026-08,Colombia,Premium,Cambió de contador,18,924.73
2026-08,Colombia,Premium,Funcionalidad faltante,15,794.32
2026-08,Colombia,Premium,Otro / sin motivo registrado,9,580.92
2026-08,Colombia,Corporativo,Cerró o quebró el negocio,9,951.6
2026-08,Colombia,Corporativo,Precio / ajuste anual,6,763.68
2026-08,Colombia,Corporativo,Se fue a la competencia,6,587.75
2026-08,Colombia,Corporativo,Mala experiencia de soporte,6,716.02
2026-08,Colombia,Corporativo,No logró implementar,3,435.82
2026-08,Colombia,Corporativo,Cambió de contador,2,311.87
2026-08,Colombia,Corporativo,Funcionalidad faltante,2,267.89
2026-08,Colombia,Corporativo,Otro / sin motivo registrado,1,195.92
2026-08,Colombia,Siigo POS,Cerró o quebró el negocio,47,1115.95
2026-08,Colombia,Siigo POS,Precio / ajuste anual,41,895.57
2026-08,Colombia,Siigo POS,Se fue a la competencia,30,689.26
2026-08,Colombia,Siigo POS,Mala experiencia de soporte,28,839.68
2026-08,Colombia,Siigo POS,No logró implementar,22,511.09
2026-08,Colombia,Siigo POS,Cambió de contador,17,365.73
2026-08,Colombia,Siigo POS,Funcionalidad faltante,12,314.15
2026-08,Colombia,Siigo POS,Otro / sin motivo registrado,9,229.75
2026-08,Colombia,POS Gastrobar,Cerró o quebró el negocio,32,853.85
2026-08,Colombia,POS Gastrobar,Precio / ajuste anual,23,685.24
2026-08,Colombia,POS Gastrobar,Se fue a la competencia,19,527.38
2026-08,Colombia,POS Gastrobar,Mala experiencia de soporte,20,642.47
2026-08,Colombia,POS Gastrobar,No logró implementar,14,391.05
2026-08,Colombia,POS Gastrobar,Cambió de contador,12,279.83
2026-08,Colombia,POS Gastrobar,Funcionalidad faltante,8,240.37
2026-08,Colombia,POS Gastrobar,Otro / sin motivo registrado,6,175.79
2024-10,México,Siigo Contador,Cerró o quebró el negocio,24,0.0
2024-10,México,Siigo Contador,Precio / ajuste anual,19,0.0
2024-10,México,Siigo Contador,Se fue a la competencia,14,0.0
2024-10,México,Siigo Contador,Mala experiencia de soporte,9,0.0
2024-10,México,Siigo Contador,No logró implementar,9,0.0
2024-10,México,Siigo Contador,Cambió de contador,8,0.0
2024-10,México,Siigo Contador,Funcionalidad faltante,6,0.0
2024-10,México,Siigo Contador,Otro / sin motivo registrado,4,0.0
2024-10,México,Profesional Independiente,Cerró o quebró el negocio,116,4425.9
2024-10,México,Profesional Independiente,Precio / ajuste anual,115,3551.88
2024-10,México,Profesional Independiente,Se fue a la competencia,65,2733.64
2024-10,México,Profesional Independiente,Mala experiencia de soporte,51,2250.14
2024-10,México,Profesional Independiente,No logró implementar,34,2026.99
2024-10,México,Profesional Independiente,Cambió de contador,32,1450.51
2024-10,México,Profesional Independiente,Funcionalidad faltante,27,1245.95
2024-10,México,Profesional Independiente,Otro / sin motivo registrado,21,911.21
2024-10,México,Emprendedor,Cerró o quebró el negocio,83,3725.67
2024-10,México,Emprendedor,Precio / ajuste anual,59,2989.93
2024-10,México,Emprendedor,Se fue a la competencia,38,2301.15
2024-10,México,Emprendedor,Mala experiencia de soporte,42,1894.14
2024-10,México,Emprendedor,No logró implementar,31,1706.29
2024-10,México,Emprendedor,Cambió de contador,24,1221.02
2024-10,México,Emprendedor,Funcionalidad faltante,20,1048.82
2024-10,México,Emprendedor,Otro / sin motivo registrado,13,767.05
2024-10,México,Premium,Cerró o quebró el negocio,27,1624.25
2024-10,México,Premium,Precio / ajuste anual,22,1303.49
2024-10,México,Premium,Se fue a la competencia,16,1003.21
2024-10,México,Premium,Mala experiencia de soporte,16,825.77
2024-10,México,Premium,No logró implementar,12,743.88
2024-10,México,Premium,Cambió de contador,8,532.32
2024-10,México,Premium,Funcionalidad faltante,8,457.25
2024-10,México,Premium,Otro / sin motivo registrado,5,334.4
2024-10,México,Corporativo,Cerró o quebró el negocio,4,430.66
2024-10,México,Corporativo,Precio / ajuste anual,3,345.61
2024-10,México,Corporativo,Se fue a la competencia,2,266.0
2024-10,México,Corporativo,Mala experiencia de soporte,2,218.95
2024-10,México,Corporativo,No logró implementar,1,197.24
2024-10,México,Corporativo,Cambió de contador,1,141.14
2024-10,México,Corporativo,Funcionalidad faltante,1,121.24
2024-10,México,Siigo POS,Cerró o quebró el negocio,38,878.53
2024-10,México,Siigo POS,Precio / ajuste anual,25,705.04
2024-10,México,Siigo POS,Se fue a la competencia,22,542.62
2024-10,México,Siigo POS,Mala experiencia de soporte,17,446.65
2024-10,México,Siigo POS,No logró implementar,17,402.35
2024-10,México,Siigo POS,Cambió de contador,11,287.92
2024-10,México,Siigo POS,Funcionalidad faltante,10,247.32
2024-10,México,Siigo POS,Otro / sin motivo registrado,7,180.87
2024-10,México,POS Gastrobar,Cerró o quebró el negocio,21,690.48
2024-10,México,POS Gastrobar,Precio / ajuste anual,16,554.12
2024-10,México,POS Gastrobar,Se fue a la competencia,14,426.47
2024-10,México,POS Gastrobar,Mala experiencia de soporte,10,351.04
2024-10,México,POS Gastrobar,No logró implementar,9,316.23
2024-10,México,POS Gastrobar,Cambió de contador,6,226.29
2024-10,México,POS Gastrobar,Funcionalidad faltante,7,194.38
2024-10,México,POS Gastrobar,Otro / sin motivo registrado,3,142.16
2024-11,México,Siigo Contador,Cerró o quebró el negocio,21,0.0
2024-11,México,Siigo Contador,Precio / ajuste anual,21,0.0
2024-11,México,Siigo Contador,Se fue a la competencia,15,0.0
2024-11,México,Siigo Contador,Mala experiencia de soporte,14,0.0
2024-11,México,Siigo Contador,No logró implementar,12,0.0
2024-11,México,Siigo Contador,Cambió de contador,7,0.0
2024-11,México,Siigo Contador,Funcionalidad faltante,7,0.0
2024-11,México,Siigo Contador,Otro / sin motivo registrado,5,0.0
2024-11,México,Profesional Independiente,Cerró o quebró el negocio,138,5248.68
2024-11,México,Profesional Independiente,Precio / ajuste anual,116,4212.18
2024-11,México,Profesional Independiente,Se fue a la competencia,76,3241.83
2024-11,México,Profesional Independiente,Mala experiencia de soporte,75,2668.45
2024-11,México,Profesional Independiente,No logró implementar,52,2403.81
2024-11,México,Profesional Independiente,Cambió de contador,43,1720.16
2024-11,México,Profesional Independiente,Funcionalidad faltante,33,1477.57
2024-11,México,Profesional Independiente,Otro / sin motivo registrado,30,1080.61
2024-11,México,Emprendedor,Cerró o quebró el negocio,71,4052.4
2024-11,México,Emprendedor,Precio / ajuste anual,63,3252.13
2024-11,México,Emprendedor,Se fue a la competencia,53,2502.95
2024-11,México,Emprendedor,Mala experiencia de soporte,41,2060.25
2024-11,México,Emprendedor,No logró implementar,39,1855.93
2024-11,México,Emprendedor,Cambió de contador,25,1328.1
2024-11,México,Emprendedor,Funcionalidad faltante,21,1140.8
2024-11,México,Emprendedor,Otro / sin motivo registrado,14,834.32
2024-11,México,Premium,Cerró o quebró el negocio,25,1456.91
2024-11,México,Premium,Precio / ajuste anual,21,1169.2
2024-11,México,Premium,Se fue a la competencia,17,899.85
2024-11,México,Premium,Mala experiencia de soporte,11,740.7
2024-11,México,Premium,No logró implementar,10,667.24
2024-11,México,Premium,Cambió de contador,8,477.47
2024-11,México,Premium,Funcionalidad faltante,7,410.14
2024-11,México,Premium,Otro / sin motivo registrado,5,299.95
2024-11,México,Corporativo,Cerró o quebró el negocio,3,445.65
2024-11,México,Corporativo,Precio / ajuste anual,3,357.65
2024-11,México,Corporativo,Se fue a la competencia,2,275.26
2024-11,México,Corporativo,Mala experiencia de soporte,2,226.57
2024-11,México,Corporativo,No logró implementar,1,204.1
2024-11,México,Corporativo,Cambió de contador,1,146.06
2024-11,México,Corporativo,Funcionalidad faltante,1,125.46
2024-11,México,Siigo POS,Cerró o quebró el negocio,38,868.42
2024-11,México,Siigo POS,Precio / ajuste anual,24,696.92
2024-11,México,Siigo POS,Se fue a la competencia,22,536.38
2024-11,México,Siigo POS,Mala experiencia de soporte,18,441.51
2024-11,México,Siigo POS,No logró implementar,15,397.72
2024-11,México,Siigo POS,Cambió de contador,10,284.61
2024-11,México,Siigo POS,Funcionalidad faltante,7,244.47
2024-11,México,Siigo POS,Otro / sin motivo registrado,5,178.79
2024-11,México,POS Gastrobar,Cerró o quebró el negocio,22,645.03
2024-11,México,POS Gastrobar,Precio / ajuste anual,15,517.65
2024-11,México,POS Gastrobar,Se fue a la competencia,14,398.4
2024-11,México,POS Gastrobar,Mala experiencia de soporte,10,327.94
2024-11,México,POS Gastrobar,No logró implementar,9,295.41
2024-11,México,POS Gastrobar,Cambió de contador,6,211.4
2024-11,México,POS Gastrobar,Funcionalidad faltante,4,181.58
2024-11,México,POS Gastrobar,Otro / sin motivo registrado,4,132.8
2024-12,México,Siigo Contador,Cerró o quebró el negocio,25,0.0
2024-12,México,Siigo Contador,Precio / ajuste anual,19,0.0
2024-12,México,Siigo Contador,Se fue a la competencia,15,0.0
2024-12,México,Siigo Contador,Mala experiencia de soporte,13,0.0
2024-12,México,Siigo Contador,No logró implementar,11,0.0
2024-12,México,Siigo Contador,Cambió de contador,7,0.0
2024-12,México,Siigo Contador,Funcionalidad faltante,8,0.0
2024-12,México,Siigo Contador,Otro / sin motivo registrado,6,0.0
2024-12,México,Profesional Independiente,Cerró o quebró el negocio,149,5470.73
2024-12,México,Profesional Independiente,Precio / ajuste anual,118,4390.37
2024-12,México,Profesional Independiente,Se fue a la competencia,77,3378.98
2024-12,México,Profesional Independiente,Mala experiencia de soporte,73,2781.34
2024-12,México,Profesional Independiente,No logró implementar,69,2505.5
2024-12,México,Profesional Independiente,Cambió de contador,39,1792.93
2024-12,México,Profesional Independiente,Funcionalidad faltante,25,1540.08
2024-12,México,Profesional Independiente,Otro / sin motivo registrado,25,1126.33
2024-12,México,Emprendedor,Cerró o quebró el negocio,80,4104.25
2024-12,México,Emprendedor,Precio / ajuste anual,56,3293.75
2024-12,México,Emprendedor,Se fue a la competencia,44,2534.98
2024-12,México,Emprendedor,Mala experiencia de soporte,36,2086.61
2024-12,México,Emprendedor,No logró implementar,32,1879.68
2024-12,México,Emprendedor,Cambió de contador,27,1345.09
2024-12,México,Emprendedor,Funcionalidad faltante,19,1155.4
2024-12,México,Emprendedor,Otro / sin motivo registrado,16,844.99
2024-12,México,Premium,Cerró o quebró el negocio,31,1435.39
2024-12,México,Premium,Precio / ajuste anual,21,1151.93
2024-12,México,Premium,Se fue a la competencia,15,886.57
2024-12,México,Premium,Mala experiencia de soporte,12,729.76
2024-12,México,Premium,No logró implementar,8,657.39
2024-12,México,Premium,Cambió de contador,8,470.42
2024-12,México,Premium,Funcionalidad faltante,8,404.08
2024-12,México,Premium,Otro / sin motivo registrado,5,295.52
2024-12,México,Corporativo,Cerró o quebró el negocio,4,550.06
2024-12,México,Corporativo,Precio / ajuste anual,4,441.44
2024-12,México,Corporativo,Se fue a la competencia,2,339.74
2024-12,México,Corporativo,Mala experiencia de soporte,2,279.65
2024-12,México,Corporativo,No logró implementar,2,251.92
2024-12,México,Corporativo,Cambió de contador,1,180.27
2024-12,México,Corporativo,Funcionalidad faltante,1,154.85
2024-12,México,Corporativo,Otro / sin motivo registrado,1,113.25
2024-12,México,Siigo POS,Cerró o quebró el negocio,38,971.21
2024-12,México,Siigo POS,Precio / ajuste anual,30,779.42
2024-12,México,Siigo POS,Se fue a la competencia,29,599.86
2024-12,México,Siigo POS,Mala experiencia de soporte,25,493.77
2024-12,México,Siigo POS,No logró implementar,15,444.8
2024-12,México,Siigo POS,Cambió de contador,8,318.3
2024-12,México,Siigo POS,Funcionalidad faltante,10,273.41
2024-12,México,Siigo POS,Otro / sin motivo registrado,8,199.95
2024-12,México,POS Gastrobar,Cerró o quebró el negocio,22,741.77
2024-12,México,POS Gastrobar,Precio / ajuste anual,17,595.29
2024-12,México,POS Gastrobar,Se fue a la competencia,16,458.15
2024-12,México,POS Gastrobar,Mala experiencia de soporte,10,377.12
2024-12,México,POS Gastrobar,No logró implementar,7,339.72
2024-12,México,POS Gastrobar,Cambió de contador,8,243.1
2024-12,México,POS Gastrobar,Funcionalidad faltante,5,208.82
2024-12,México,POS Gastrobar,Otro / sin motivo registrado,4,152.72
2025-01,México,Siigo Contador,Cerró o quebró el negocio,35,0.0
2025-01,México,Siigo Contador,Precio / ajuste anual,40,0.0
2025-01,México,Siigo Contador,Se fue a la competencia,16,0.0
2025-01,México,Siigo Contador,Mala experiencia de soporte,17,0.0
2025-01,México,Siigo Contador,No logró implementar,17,0.0
2025-01,México,Siigo Contador,Cambió de contador,9,0.0
2025-01,México,Siigo Contador,Funcionalidad faltante,6,0.0
2025-01,México,Siigo Contador,Otro / sin motivo registrado,5,0.0
2025-01,México,Profesional Independiente,Cerró o quebró el negocio,176,6891.14
2025-01,México,Profesional Independiente,Precio / ajuste anual,207,9014.36
2025-01,México,Profesional Independiente,Se fue a la competencia,119,4256.29
2025-01,México,Profesional Independiente,Mala experiencia de soporte,88,3503.48
2025-01,México,Profesional Independiente,No logró implementar,84,3156.02
2025-01,México,Profesional Independiente,Cambió de contador,53,2258.44
2025-01,México,Profesional Independiente,Funcionalidad faltante,50,1939.94
2025-01,México,Profesional Independiente,Otro / sin motivo registrado,35,1418.76
2025-01,México,Emprendedor,Cerró o quebró el negocio,108,5168.05
2025-01,México,Emprendedor,Precio / ajuste anual,142,6760.37
2025-01,México,Emprendedor,Se fue a la competencia,56,3192.03
2025-01,México,Emprendedor,Mala experiencia de soporte,45,2627.45
2025-01,México,Emprendedor,No logró implementar,42,2366.88
2025-01,México,Emprendedor,Cambió de contador,33,1693.73
2025-01,México,Emprendedor,Funcionalidad faltante,25,1454.87
2025-01,México,Emprendedor,Otro / sin motivo registrado,18,1064.01
2025-01,México,Premium,Cerró o quebró el negocio,37,2046.48
2025-01,México,Premium,Precio / ajuste anual,42,2677.02
2025-01,México,Premium,Se fue a la competencia,21,1264.0
2025-01,México,Premium,Mala experiencia de soporte,15,1040.44
2025-01,México,Premium,No logró implementar,15,937.25
2025-01,México,Premium,Cambió de contador,12,670.69
2025-01,México,Premium,Funcionalidad faltante,8,576.11
2025-01,México,Premium,Otro / sin motivo registrado,6,421.33
2025-01,México,Corporativo,Cerró o quebró el negocio,5,618.77
2025-01,México,Corporativo,Precio / ajuste anual,6,809.41
2025-01,México,Corporativo,Se fue a la competencia,4,382.18
2025-01,México,Corporativo,Mala experiencia de soporte,3,314.58
2025-01,México,Corporativo,No logró implementar,2,283.38
2025-01,México,Corporativo,Cambió de contador,1,202.79
2025-01,México,Corporativo,Funcionalidad faltante,1,174.19
2025-01,México,Corporativo,Otro / sin motivo registrado,1,127.39
2025-01,México,Siigo POS,Cerró o quebró el negocio,53,1142.82
2025-01,México,Siigo POS,Precio / ajuste anual,50,1494.94
2025-01,México,Siigo POS,Se fue a la competencia,28,705.86
2025-01,México,Siigo POS,Mala experiencia de soporte,21,581.02
2025-01,México,Siigo POS,No logró implementar,23,523.39
2025-01,México,Siigo POS,Cambió de contador,15,374.54
2025-01,México,Siigo POS,Funcionalidad faltante,14,321.72
2025-01,México,Siigo POS,Otro / sin motivo registrado,8,235.29
2025-01,México,POS Gastrobar,Cerró o quebró el negocio,24,837.59
2025-01,México,POS Gastrobar,Precio / ajuste anual,36,1095.65
2025-01,México,POS Gastrobar,Se fue a la competencia,17,517.33
2025-01,México,POS Gastrobar,Mala experiencia de soporte,12,425.83
2025-01,México,POS Gastrobar,No logró implementar,12,383.6
2025-01,México,POS Gastrobar,Cambió de contador,9,274.5
2025-01,México,POS Gastrobar,Funcionalidad faltante,6,235.79
2025-01,México,POS Gastrobar,Otro / sin motivo registrado,5,172.44
2025-02,México,Siigo Contador,Cerró o quebró el negocio,25,0.0
2025-02,México,Siigo Contador,Precio / ajuste anual,28,0.0
2025-02,México,Siigo Contador,Se fue a la competencia,14,0.0
2025-02,México,Siigo Contador,Mala experiencia de soporte,11,0.0
2025-02,México,Siigo Contador,No logró implementar,13,0.0
2025-02,México,Siigo Contador,Cambió de contador,8,0.0
2025-02,México,Siigo Contador,Funcionalidad faltante,6,0.0
2025-02,México,Siigo Contador,Otro / sin motivo registrado,5,0.0
2025-02,México,Profesional Independiente,Cerró o quebró el negocio,105,5071.35
2025-02,México,Profesional Independiente,Precio / ajuste anual,135,6633.88
2025-02,México,Profesional Independiente,Se fue a la competencia,74,3132.31
2025-02,México,Profesional Independiente,Mala experiencia de soporte,58,2578.29
2025-02,México,Profesional Independiente,No logró implementar,51,2322.59
2025-02,México,Profesional Independiente,Cambió de contador,31,1662.04
2025-02,México,Profesional Independiente,Funcionalidad faltante,34,1427.65
2025-02,México,Profesional Independiente,Otro / sin motivo registrado,24,1044.1
2025-02,México,Emprendedor,Cerró o quebró el negocio,77,3934.01
2025-02,México,Emprendedor,Precio / ajuste anual,91,5146.11
2025-02,México,Emprendedor,Se fue a la competencia,40,2429.83
2025-02,México,Emprendedor,Mala experiencia de soporte,32,2000.06
2025-02,México,Emprendedor,No logró implementar,33,1801.71
2025-02,México,Emprendedor,Cambió de contador,26,1289.3
2025-02,México,Emprendedor,Funcionalidad faltante,17,1107.47
2025-02,México,Emprendedor,Otro / sin motivo registrado,16,809.94
2025-02,México,Premium,Cerró o quebró el negocio,22,1570.89
2025-02,México,Premium,Precio / ajuste anual,35,2054.9
2025-02,México,Premium,Se fue a la competencia,14,970.26
2025-02,México,Premium,Mala experiencia de soporte,14,798.65
2025-02,México,Premium,No logró implementar,11,719.44
2025-02,México,Premium,Cambió de contador,9,514.83
2025-02,México,Premium,Funcionalidad faltante,8,442.23
2025-02,México,Premium,Otro / sin motivo registrado,5,323.42
2025-02,México,Corporativo,Cerró o quebró el negocio,5,479.16
2025-02,México,Corporativo,Precio / ajuste anual,5,626.79
2025-02,México,Corporativo,Se fue a la competencia,2,295.95
2025-02,México,Corporativo,Mala experiencia de soporte,2,243.6
2025-02,México,Corporativo,No logró implementar,1,219.45
2025-02,México,Corporativo,Cambió de contador,1,157.03
2025-02,México,Corporativo,Funcionalidad faltante,1,134.89
2025-02,México,Siigo POS,Cerró o quebró el negocio,40,976.36
2025-02,México,Siigo POS,Precio / ajuste anual,56,1277.18
2025-02,México,Siigo POS,Se fue a la competencia,22,603.04
2025-02,México,Siigo POS,Mala experiencia de soporte,18,496.38
2025-02,México,Siigo POS,No logró implementar,16,447.16
2025-02,México,Siigo POS,Cambió de contador,11,319.98
2025-02,México,Siigo POS,Funcionalidad faltante,11,274.86
2025-02,México,Siigo POS,Otro / sin motivo registrado,7,201.01
2025-02,México,POS Gastrobar,Cerró o quebró el negocio,21,709.0
2025-02,México,POS Gastrobar,Precio / ajuste anual,26,927.45
2025-02,México,POS Gastrobar,Se fue a la competencia,11,437.91
2025-02,México,POS Gastrobar,Mala experiencia de soporte,10,360.46
2025-02,México,POS Gastrobar,No logró implementar,9,324.71
2025-02,México,POS Gastrobar,Cambió de contador,5,232.36
2025-02,México,POS Gastrobar,Funcionalidad faltante,5,199.59
2025-02,México,POS Gastrobar,Otro / sin motivo registrado,4,145.97
2025-03,México,Siigo Contador,Cerró o quebró el negocio,26,0.0
2025-03,México,Siigo Contador,Precio / ajuste anual,19,0.0
2025-03,México,Siigo Contador,Se fue a la competencia,18,0.0
2025-03,México,Siigo Contador,Mala experiencia de soporte,22,0.0
2025-03,México,Siigo Contador,No logró implementar,10,0.0
2025-03,México,Siigo Contador,Cambió de contador,8,0.0
2025-03,México,Siigo Contador,Funcionalidad faltante,7,0.0
2025-03,México,Siigo Contador,Otro / sin motivo registrado,5,0.0
2025-03,México,Profesional Independiente,Cerró o quebró el negocio,160,4995.19
2025-03,México,Profesional Independiente,Precio / ajuste anual,76,4008.75
2025-03,México,Profesional Independiente,Se fue a la competencia,75,3085.27
2025-03,México,Profesional Independiente,Mala experiencia de soporte,81,3758.57
2025-03,México,Profesional Independiente,No logró implementar,45,2287.71
2025-03,México,Profesional Independiente,Cambió de contador,39,1637.08
2025-03,México,Profesional Independiente,Funcionalidad faltante,33,1406.21
2025-03,México,Profesional Independiente,Otro / sin motivo registrado,21,1028.42
2025-03,México,Emprendedor,Cerró o quebró el negocio,63,3825.93
2025-03,México,Emprendedor,Precio / ajuste anual,55,3070.39
2025-03,México,Emprendedor,Se fue a la competencia,36,2363.07
2025-03,México,Emprendedor,Mala experiencia de soporte,50,2878.77
2025-03,México,Emprendedor,No logró implementar,31,1752.21
2025-03,México,Emprendedor,Cambió de contador,21,1253.88
2025-03,México,Emprendedor,Funcionalidad faltante,18,1077.05
2025-03,México,Emprendedor,Otro / sin motivo registrado,15,787.69
2025-03,México,Premium,Cerró o quebró el negocio,23,1528.41
2025-03,México,Premium,Precio / ajuste anual,17,1226.58
2025-03,México,Premium,Se fue a la competencia,14,944.01
2025-03,México,Premium,Mala experiencia de soporte,18,1150.03
2025-03,México,Premium,No logró implementar,11,699.98
2025-03,México,Premium,Cambió de contador,8,500.91
2025-03,México,Premium,Funcionalidad faltante,8,430.27
2025-03,México,Premium,Otro / sin motivo registrado,4,314.67
2025-03,México,Corporativo,Cerró o quebró el negocio,4,508.17
2025-03,México,Corporativo,Precio / ajuste anual,3,407.82
2025-03,México,Corporativo,Se fue a la competencia,2,313.87
2025-03,México,Corporativo,Mala experiencia de soporte,2,382.36
2025-03,México,Corporativo,No logró implementar,2,232.73
2025-03,México,Corporativo,Cambió de contador,1,166.54
2025-03,México,Corporativo,Funcionalidad faltante,1,143.06
2025-03,México,Siigo POS,Cerró o quebró el negocio,29,942.33
2025-03,México,Siigo POS,Precio / ajuste anual,32,756.24
2025-03,México,Siigo POS,Se fue a la competencia,24,582.03
2025-03,México,Siigo POS,Mala experiencia de soporte,23,709.05
2025-03,México,Siigo POS,No logró implementar,15,431.57
2025-03,México,Siigo POS,Cambió de contador,9,308.83
2025-03,México,Siigo POS,Funcionalidad faltante,9,265.28
2025-03,México,Siigo POS,Otro / sin motivo registrado,7,194.01
